feature,coef,abs_coef,p_value,concordance,significant,n_samples
dist_min_ci_0_5h,-4.76255239823125e-05,4.76255239823125e-05,1.6925480294037582e-05,0.9094898973169924,True,221
dt_first_last_0_5h,0.3841532927612372,0.3841532927612372,2.2951473253996444e-11,0.7035442199403776,True,221
multi_perimeter_flag,1.7028505146881816,1.7028505146881816,5.222811635905012e-12,0.6993209672076847,True,221
nonzero_dt_flag,1.7028505146881816,1.7028505146881816,5.222811635905012e-12,0.6993209672076847,True,221
alignment_abs,1.7701106372312776,1.7701106372312776,3.6600051310000883e-10,0.699238158330573,True,221
low_temporal_resolution_0_5h,-1.6680219813970292,1.6680219813970292,1.2458058690632644e-11,0.6946836700894335,True,221
centroid_displacement_m,0.0013677578483920379,0.0013677578483920379,1.3133409314398488e-05,0.6191619741636304,True,221
centroid_speed_m_per_h,0.004945447975394277,0.004945447975394277,9.297247235234158e-06,0.6190791652865187,True,221
spread_bearing_cos,-1.4634199225126527,1.4634199225126527,8.691959561126758e-12,0.618582312023849,True,221
spread_bearing_deg,0.008296246877830902,0.008296246877830902,2.488075201649488e-08,0.6173401788671745,True,221
log1p_area_growth_abs_0_5h,0.364212475567541,0.364212475567541,3.2286187013571094e-10,0.61303411725737,True,221
log1p_growth,0.364212475567541,0.364212475567541,3.2286187013571094e-10,0.61303411725737,True,221
log1p_radial_growth_rate_m_per_h,0.4149070588090383,0.4149070588090383,2.27961556379468e-09,0.6127028817489235,True,221
log1p_radial_growth_m,0.33796543594873485,0.33796543594873485,3.874503568302302e-10,0.6125372639947002,True,221
area_growth_abs_0_5h,0.0011888792040311781,0.0011888792040311781,0.0002525304233071603,0.6062437893342166,True,221
radial_growth_rate_m_per_h,0.008187376778536029,0.008187376778536029,5.370850851955371e-06,0.6059125538257701,True,221
radial_growth_m,0.0021249695714267397,0.0021249695714267397,9.553267030170206e-06,0.6057469360715468,True,221
growth_intensity,0.15136803289485462,0.15136803289485462,0.0008210015876305387,0.6050844650546539,True,221
relative_growth_0_5h,0.15136802763912838,0.15136802763912838,0.0008210016218283363,0.6050844650546539,True,221
log_area_ratio_0_5h,0.9974874925403054,0.9974874925403054,4.901553159693385e-06,0.6050844650546539,True,221
slog1p_area_growth_rel_0_5h,0.9974874833394448,0.9974874833394448,4.901553049940041e-06,0.6050844650546539,True,221
area_growth_rel_0_5h,0.15136802763912838,0.15136802763912838,0.0008210016218283363,0.6050844650546539,True,221
dist_slope_ci_0_5h,-0.0047333563368784455,0.0047333563368784455,0.003648944287125394,0.5769708512752567,True,221
dist_fit_r2_0_5h,1.7333323720630929,1.7333323720630929,0.0006484447114871277,0.5738241139450149,True,221
spread_bearing_sin,1.7388996960998298,1.7388996960998298,4.478552260210014e-06,0.5698906922822127,True,221
log1p_area_first_ha,-0.13498191754586478,0.13498191754586478,0.016468595848505765,0.569145412388208,True,221
log1p_area_first,-0.13498191754586478,0.13498191754586478,0.016468595848505765,0.569145412388208,True,221
area_first_ha,-0.0007015951976268945,0.0007015951976268945,0.009564389210689526,0.569145412388208,True,221
aggressive_toward_zone,0.009015677209529657,0.009015677209529657,0.0007233349927756836,0.5684001324942034,True,221
closing_speed_abs_m_per_h,0.08660531501047104,0.08660531501047104,5.537217938923463e-47,0.567820470354422,True,221
